DIP:18E	DIP:634N			S06119	85054	DIP:243N			A49426	627246	8906794	Immunoprecipitation
DIP:18960E	DIP:17128N				24586193	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18961E	DIP:17129N		P06603	A26488	17136564	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18962E	DIP:17130N		Q9VA73		24651387	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18963E	DIP:17131N				20128921	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18964E	DIP:17132N				23397623	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18965E	DIP:17133N				24649007	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18966E	DIP:17134N				21357017	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18967E	DIP:17135N				24584341	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18968E	DIP:17136N				28571445	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18969E	DIP:17137N				18921137	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18970E	DIP:17138N				21357781	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18971E	DIP:17139N				24643151	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18972E	DIP:17140N				28573684	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18973E	DIP:17141N				17137188	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18974E	DIP:17142N				19921002	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18975E	DIP:17095N				21357023	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18976E	DIP:17143N				30923655	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18977E	DIP:17144N				17137752	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18978E	DIP:17145N		P11455		24666330	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18979E	DIP:17146N				24641634	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18980E	DIP:17147N				17737425	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18981E	DIP:17148N				28573512	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18982E	DIP:17149N				24661359	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18983E	DIP:17150N				24642670	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18984E	DIP:17151N		O16797		17737907	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18985E	DIP:17152N				24648484	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18986E	DIP:17153N				19921016	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18987E	DIP:17154N				24640050	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18988E	DIP:17155N				17738243	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18989E	DIP:17156N		P22807	A36664	17136362	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18990E	DIP:17157N				24662048	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18991E	DIP:17158N				24651185	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18992E	DIP:17159N				24645528	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18993E	DIP:17160N				24640353	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18994E	DIP:17161N				28574744	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18995E	DIP:17162N				17136608	DIP:17046N				24644797	14605208	Two hybrid test
DIP:18996E	DIP:17164N				18921161	DIP:17163N				17137764	14605208	Two hybrid test
DIP:18997E	DIP:17165N				28573893	DIP:17163N				17137764	14605208	Two hybrid test
DIP:18998E	DIP:17166N				24640631	DIP:17163N				17137764	14605208	Two hybrid test
DIP:18999E	DIP:17087N		Q24564		17647629	DIP:17163N				17137764	14605208	Two hybrid test
DIP:19000E	DIP:17167N				17647523	DIP:17163N				17137764	14605208	Two hybrid test
DIP:19001E	DIP:17168N		Q06559	S35620	17136324	DIP:17163N				17137764	14605208	Two hybrid test
DIP:19002E	DIP:17169N		O18640		17137396	DIP:17163N				17137764	14605208	Two hybrid test
DIP:19003E	DIP:17170N				18859929	DIP:17163N				17137764	14605208	Two hybrid test
DIP:19004E	DIP:17171N				24642461	DIP:17163N				17137764	14605208	Two hybrid test
DIP:19006E	DIP:17173N				21356199	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19007E	DIP:17174N		Q9VIU7		24585265	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19008E	DIP:17175N				24638766	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19009E	DIP:17176N		P29503	S35503	17136356	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19010E	DIP:17177N				24762688	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19011E	DIP:17117N				24643702	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19012E	DIP:17118N				24666619	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19013E	DIP:17178N		P38979	T13602	17136518	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19014E	DIP:17179N				20129579	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19015E	DIP:17048N		P08182		18104935	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19016E	DIP:17051N				24663462	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19017E	DIP:17180N		P48149	S33498	17975567	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19018E	DIP:17181N				18921139	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19019E	DIP:17182N				24667330	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19020E	DIP:17183N				24654914	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19021E	DIP:17184N				28574472	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19022E	DIP:17185N				24658883	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19023E	DIP:17186N				24581484	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19024E	DIP:17187N				18858137	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19025E	DIP:17151N		O16797		17737907	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19026E	DIP:17057N				24584547	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19027E	DIP:17188N				21355683	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19028E	DIP:17189N				28574406	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19029E	DIP:17190N				24583803	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19030E	DIP:17191N				19922390	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19031E	DIP:626N		P13097	S03626	17981745	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19032E	DIP:17193N				24652930	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19033E	DIP:17194N				19921312	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19034E	DIP:17195N				19921254	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19035E	DIP:17196N		Q9VVX3		17737633	DIP:17172N				24585236	14605208	Two hybrid test
DIP:19036E	DIP:17051N				24663462	DIP:17197N				24646257	14605208	Two hybrid test
DIP:19037E	DIP:17199N				24667089	DIP:17198N		P56672		28573686	14605208	Two hybrid test
DIP:19038E	DIP:17201N				24655245	DIP:17200N		P16241		17737539	14605208	Two hybrid test
DIP:19039E	DIP:17202N				24641156	DIP:17200N		P16241		17737539	14605208	Two hybrid test
DIP:19040E	DIP:17203N				24650420	DIP:17200N		P16241		17737539	14605208	Two hybrid test
DIP:19041E	DIP:17205N				20129939	DIP:17204N				24581576	14605208	Two hybrid test
DIP:19042E	DIP:17207N				21358197	DIP:17206N				24646242	14605208	Two hybrid test
DIP:19043E	DIP:17209N				17864254	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19044E	DIP:17210N		Q04787		17137534	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19045E	DIP:17211N				24657678	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19046E	DIP:17212N		Q9VH39		21356123	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19047E	DIP:17213N				20129085	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19048E	DIP:17214N				21358145	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19049E	DIP:17215N				21358161	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19050E	DIP:17216N				18543289	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19051E	DIP:17217N		P52487		17986163	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19052E	DIP:17218N		O97067		24644665	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19053E	DIP:17219N				20128841	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19054E	DIP:17220N				24642845	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19055E	DIP:17221N				28573879	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19056E	DIP:17222N				24653350	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19057E	DIP:17223N				28573951	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19058E	DIP:17224N			RGFFO2	24652446	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19059E	DIP:17225N				24648173	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19060E	DIP:17226N				28571762	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19061E	DIP:17227N				24584496	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19062E	DIP:17228N				24664979	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19063E	DIP:17229N				20129729	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19064E	DIP:17230N				28573466	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19065E	DIP:17231N				18858161	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19066E	DIP:17232N				19922516	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19067E	DIP:17233N		Q9VJD3		17647447	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19068E	DIP:17234N				24649695	DIP:17208N				17137224	14605208	Two hybrid test
DIP:19069E	DIP:17235N				24642276	DIP:17208N				17137224	14605208	Two hybrid test
