BINDID	MolNameA	MolTypeA	GIA	GeneA	TaxName	MolNameB	MolTypeB	GIB	GeneB	TaxName	PMIDs
184995	Aplip1	protein	24655001	53472	Drosophila melanogaster	hep	protein	24641666	32256	Drosophila melanogaster	11912189
184996	Appl	protein	158372	0	Drosophila melanogaster	Bin4	protein	24643118	45970	Drosophila melanogaster	11912189
184997	Appl	protein	158372	0	Drosophila melanogaster	X11L	protein	24642814	252671	Drosophila melanogaster	11912189
185023	Aplip1	protein	24655001	53472	Drosophila melanogaster	DKLC	protein	17647555	39445	Drosophila melanogaster	11912189
185367	Dof	protein	24646866	41770	Drosophila melanogaster	Su(var)2-10	protein	0	35927	Drosophila melanogaster	12767830
185368	Dof	protein	24646866	41770	Drosophila melanogaster	CG11275	protein	24657782	37534	Drosophila melanogaster	12767830
185369	Dof	protein	24646866	41770	Drosophila melanogaster	CG10189	protein	20129633	35234	Drosophila melanogaster	12767830
185446	D-RLIP	protein	24648592	42484	Drosophila melanogaster	Dmu-2	protein	0	42642	Drosophila melanogaster	10910768
185638	Aplip1	protein	24655001	53472	Drosophila melanogaster	Appl	protein	24638892	31002	Drosophila melanogaster	11912189
193845	CP190	protein	0	41848	Drosophila melanogaster	Su(Hw)	protein	0	41740	Drosophila melanogaster	15574329
193846	CP190	protein	0	41848	Drosophila melanogaster	Mod(mdg4)2.2	protein	0	49228	Drosophila melanogaster	15574329
193847	GAGA	protein	0	2768981	Drosophila melanogaster	Mod(mdg4)2.2	protein	0	49228	Drosophila melanogaster	15574329
193848	CP190	protein	0	41848	Drosophila melanogaster	gyspy300	dna	2801515	0	Drosophila melanogaster	15574329
193849	Su(Hw)	protein	0	41740	Drosophila melanogaster	gyspy300	dna	2801515	0	Drosophila melanogaster	15574329
193850	Su(Hw)	protein	0	41740	Drosophila melanogaster	y454	dna	55380361	0	Drosophila melanogaster	15574329
193851	CP190	protein	0	41848	Drosophila melanogaster	y454	dna	55380361	0	Drosophila melanogaster	15574329
195712	Rh1	protein	17738051	42367	Drosophila melanogaster	Arr2	protein	17647171	38993	Drosophila melanogaster	15589149
195733	Cyclin B	protein	0	37618	Drosophila melanogaster	Cdk1	protein	17136606	34411	Drosophila melanogaster	15589158
195734	Cyclin B / Cdk1	complex	0	0	Drosophila melanogaster	dWee1	protein	17136988	33965	Drosophila melanogaster	15589158
196671	Notch	protein	24639454	31293	Drosophila melanogaster	Su(dx)	protein	17136524	33379	Drosophila melanogaster	15620650
196756	POLO	protein	24667346	40232	Drosophila melanogaster	MEI-S332	protein	17136328	37523	Drosophila melanogaster	15621529
196891	DOR83b	protein	24644231	40650	Drosophila melanogaster	DOR83b	protein	24644231	40650	Drosophila melanogaster	15592462
196892	DOR43a	protein	24586190	35644	Drosophila melanogaster	DOR43a	protein	24586190	35644	Drosophila melanogaster	15592462
196893	DOR83b	protein	24644231	40650	Drosophila melanogaster	DOR43a	protein	24586190	35644	Drosophila melanogaster	15592462
196894	DOR83b	protein	24644231	40650	Drosophila melanogaster	DOR22a	protein	17647761	33335	Drosophila melanogaster	15592462
197042	ph-p	protein	24639272	31181	Drosophila melanogaster	Trl-GAGA	protein	0	2768981	Drosophila melanogaster	12834867
197045	lolal	protein	24654826	44703	Drosophila melanogaster	Trl-GAGA	protein	0	2768981	Drosophila melanogaster	12834867
197048	drk	protein	17136708	36497	Drosophila melanogaster	Sos	protein	18110536	34790	Drosophila melanogaster	8462098
197050	ph-p	protein	24639272	31181	Drosophila melanogaster	ph-p	protein	24639272	31181	Drosophila melanogaster	9566890
197355	STNB	protein	3138879	0	Drosophila melanogaster	SYT	protein	0	33473	Drosophila melanogaster	11069931
197358	STNB	protein	3138879	0	Drosophila melanogaster	SYTIV	protein	17137726	40876	Drosophila melanogaster	11069931
197368	Pc	protein	17737701	40358	Drosophila melanogaster	Psc	protein	24653251	36431	Drosophila melanogaster	9566890
197369	Psc	protein	24653251	36431	Drosophila melanogaster	Psc	protein	24653251	36431	Drosophila melanogaster	9566890
197370	ph-p	protein	24639272	31181	Drosophila melanogaster	Psc	protein	24653251	36431	Drosophila melanogaster	9566890
200110	Su(H)	protein	17136726	34881	Drosophila melanogaster	m8 SPS	dna	7953	43161	Drosophila melanogaster	15668164
200111	Su(H)	protein	17136726	34881	Drosophila melanogaster	Notch	protein	24639454	31293	Drosophila melanogaster	15668164
200112	Su(H)	protein	17136726	34881	Drosophila melanogaster	Da	protein	17137250	34413	Drosophila melanogaster	15668164
201967	TAN	protein	24658981	44785	Drosophila melanogaster	ASX	protein	24653657	36612	Drosophila melanogaster	11397012
201994	dHDAC1	protein	24657891	38565	Drosophila melanogaster	Kay	protein	0	43510	Drosophila melanogaster	15640802
201995	dHDAC1	protein	24657891	38565	Drosophila melanogaster	Jra	protein	17136234	36057	Drosophila melanogaster	15640802
201996	Pcaf	protein	24663348	39431	Drosophila melanogaster	Kay	protein	0	43510	Drosophila melanogaster	15640802
201997	Pcaf	protein	24663348	39431	Drosophila melanogaster	Relish	protein	0	41087	Drosophila melanogaster	15640802
201998	Pcaf	protein	24663348	39431	Drosophila melanogaster	Jra	protein	17136234	36057	Drosophila melanogaster	15640802
201999	Relish	protein	0	41087	Drosophila melanogaster	p-Rel	dna	56411841	41087	Drosophila melanogaster	15640802
202000	Jra	protein	17136234	36057	Drosophila melanogaster	p-puc	dna	56411841	40958	Drosophila melanogaster	15640802
202001	H4	protein	24585675	318846	Drosophila melanogaster	p-AttA	dna	56407907	36636	Drosophila melanogaster	15640802
202002	Pcaf	protein	24663348	39431	Drosophila melanogaster	p-AttA	dna	56407907	36636	Drosophila melanogaster	15640802
202003	dHDAC1	protein	24657891	38565	Drosophila melanogaster	p-AttA	dna	56407907	36636	Drosophila melanogaster	15640802
202004	Jra	protein	17136234	36057	Drosophila melanogaster	p-AttA	dna	56407907	36636	Drosophila melanogaster	15640802
202005	Relish	protein	0	41087	Drosophila melanogaster	p-AttA	dna	56407907	36636	Drosophila melanogaster	15640802
202008	EB1	protein	0	35584	Drosophila melanogaster	KLP10A	protein	0	32049	Drosophila melanogaster	15723056
202022	gamma-TuRC	complex	0	0	Drosophila melanogaster	Swa	protein	24640128	31580	Drosophila melanogaster	12431375
