CG3274	FBan0003274	FBgn0027541	CG3274		
CG1817	FBan0001817	FBgn0004370	Ptp10D	Protein tyrosine phosphatase 10D	FBgn0019946
CG1818	FBan0001818	FBgn0033428	Updo		
CG3277	FBan0003277	FBgn0031518	CG3277		
CG1819	FBan0001819	FBgn0031162	CG1819		
CG3279	FBan0003279	FBgn0035156	CG3279		
CG10050	FBan0010050	FBgn0037492	CG10050		
CR18775	FBan0018775	FBgn0020646	Lcp65A&PSgr;		FBgn0042116
CG10051	FBan0010051	FBgn0034437	CG10051		
CG10052	FBan0010052	FBgn0020617	Rx	Retinal Homeobox	FBgn0000530,FBgn0003998,FBgn0005641
CG10053	FBan0010053	FBgn0037490	CG10053		FBgn0046243,FBgn0046246
CG10055	FBan0010055	FBgn0037482	CG10055		
CG10059	FBan0010059	FBgn0037481	MAGE		
CG1822	FBan0001822	FBgn0014133	bif	bifocal	
CG3280	FBan0003280	FBgn0036017	CG3280		
CG3281	FBan0003281	FBgn0037967	CG3281		
CG1824	FBan0001824	FBgn0030403	CG1824		
CG1825	FBan0001825	FBgn0010342	Map60	Microtubule-associated protein 60	FBgn0015027
CG3283	FBan0003283	FBgn0014028	SdhB	Succinate dehydrogenase B	
CG1826	FBan0001826	FBgn0030228	CG1826		
CG2555	FBan0002555	FBgn0030398	CG2555		
CG3284	FBan0003284	FBgn0004855	RpII15	RNA polymerase II 15kD subunit	
CG2556	FBan0002556	FBgn0030396	CG2556		
CG3285	FBan0003285	FBgn0031522	CG3285		
CG1827	FBan0001827	FBgn0033431	CG1827		
CG1828	FBan0001828	FBgn0002183	dre4		FBgn0002182
CG3287	FBan0003287	FBgn0028954	CG3287		FBgn0033106
CG1829	FBan0001829	FBgn0031126	Cyp6v1		
CG2559	FBan0002559	FBgn0002562	Lsp1&agr;	Larval serum protein 1 &agr;	
CG3288	FBan0003288	FBgn0037030	CG3288		
CG3289	FBan0003289	FBgn0016698	Ptpa	Phosphotyrosyl phosphatase activator	
CG10060	FBan0010060	FBgn0001104	G-i&agr;65A	G protein &agr;i subunit 65A	
CG10061	FBan0010061	FBgn0037480	l(3)s2214		
CG10062	FBan0010062	FBgn0034439	CG10062		
CG10063	FBan0010063	FBgn0035727	CG10063		FBgn0063698
CG10064	FBan0010064	FBgn0035724	CG10064		
CG10067	FBan0010067	FBgn0000044	Act57B	Actin 57B	FBgn0019861,FBgn0050294,FBgn0065030
CG10068	FBan0010068	FBgn0037473	CG10068		
CG10069	FBan0010069	FBgn0034611	CG10069		
CG1830	FBan0001830	FBgn0011754	PhK&ggr;	Phosphorylase kinase &ggr;	FBgn0044448
CG2560	FBan0002560	FBgn0030394	CG2560		
CG3290	FBan0003290	FBgn0034711	CG3290		
CG1832	FBan0001832	FBgn0032979	CG1832		
CG3291	FBan0003291	FBgn0020261	pcm	pacman	
CG3292	FBan0003292	FBgn0034710	CG3292		
CG1835	FBan0001835	FBgn0031127	CG1835		FBgn0063222
CG3294	FBan0003294	FBgn0031628	CG3294		
CG1836	FBan0001836	FBgn0026777	Rad23		
CG1837	FBan0001837	FBgn0030329	CG1837		FBgn0027709
CG3295	FBan0003295	FBgn0034573	CG3295		
CG1838	FBan0001838	FBgn0026199	myoglianin	myoglianin	FBgn0064928
CG3297	FBan0003297	FBgn0002778	mnd	minidiscs	FBgn0002474,FBgn0004717
CG1839	FBan0001839	FBgn0030555	CG1839		
CG3298	FBan0003298	FBgn0028426	JhI-1	Juvenile hormone-inducible protein 1	FBgn0033506
CG3299	FBan0003299	FBgn0004397	Vinc	Vinculin	FBgn0015840,FBgn0024918
CG10071	FBan0010071	FBgn0016726	RpL29	Ribosomal protein L29	FBgn0025285,FBgn0025305,FBgn0061374
CG10072	FBan0010072	FBgn0010851	sgl	sugarless	FBgn0002456,FBgn0010929,FBgn0015500
CG10073	FBan0010073	FBgn0034440	CG10073		
CG10075	FBan0010075	FBgn0035722	CG10075		
CG10076	FBan0010076	FBgn0003475	spir	spire	FBgn0029122,FBgn0032854,FBgn0040997
CG10077	FBan0010077	FBgn0035720	CG10077		FBgn0047244,FBgn0063174
CG10078	FBan0010078	FBgn0041194	Prat2	Phosphoribosylamidotransferase 2	FBgn0035717
CG10079	FBan0010079	FBgn0003731	Egfr	Epidermal growth factor receptor	FBgn0010599,FBgn0022793
CR31130	FBan0031130	FBgn0051130	CR31130		FBgn0060151
CR30406	FBan0030406	FBgn0050406	CR30406		FBgn0011873,FBgn0050204,FBgn0060214
CR30407	FBan0030407	FBgn0050407	CR30407		FBgn0011873,FBgn0050205,FBgn0060213
CG1840	FBan0001840	FBgn0030351	CG1840		FBgn0062464
CG1841	FBan0001841	FBgn0030330	CG1841		
CG1842	FBan0001842	FBgn0013813	Dhc98D	Dynein heavy chain at 89D	
CG1844	FBan0001844	FBgn0030350	SelG	Selenoprotein G	FBgn0064979
CG2574	FBan0002574	FBgn0030386	CG2574		
CG1845	FBan0001845	FBgn0033155	CG1845		
CG1847	FBan0001847	FBgn0030345	CG1847		
CG2577	FBan0002577	FBgn0030384	CG2577		
CG1848	FBan0001848	FBgn0041203	LIMK1	LIM-kinase1	FBgn0030402
CG1849	FBan0001849	FBgn0003300	run	runt	FBgn0019659,FBgn0019997
CG10080	FBan0010080	FBgn0034641	CG10080		FBgn0062889
CG10081	FBan0010081	FBgn0034441	CG10081		
CG10082	FBan0010082	FBgn0034644	CG10082		
CG10083	FBan0010083	FBgn0036372	CG10083		
CG10084	FBan0010084	FBgn0032794	CG10084		
